P_0030,P_3000,P_3045,P_4530,P_4560,P_6045,P_6090,P_9060,S_0030,S_3000,S_3045,S_4530,S_4560,S_6045,S_6090,S_9060,idx
0.20907777777777778,0.19127777777777777,0.07732222222222222,0.07276666666666666,0.051922222222222224,0.040233333333333336,0.049633333333333335,0.05176666666666667,18817.0,17215.0,6959.0,6549.0,4673.0,3621.0,4467.0,4659.0,0
0.19726666666666667,0.2038888888888889,0.06543333333333333,0.07777777777777778,0.04066666666666666,0.0539,0.05006666666666667,0.050133333333333335,17754.0,18350.0,5889.0,7000.0,3660.0,4851.0,4506.0,4512.0,1
0.22312222222222222,0.1858,0.08933333333333333,0.0623,0.04801111111111111,0.03611111111111111,0.05352222222222222,0.04543333333333333,20081.0,16722.0,8040.0,5607.0,4321.0,3250.0,4817.0,4089.0,2
0.2084,0.19115555555555555,0.0724888888888889,0.0743,0.037955555555555555,0.04192222222222222,0.05555555555555555,0.05806666666666667,18756.0,17204.0,6524.0,6687.0,3416.0,3773.0,5000.0,5226.0,3
0.1980111111111111,0.17295555555555556,0.07593333333333334,0.07571111111111112,0.03217777777777778,0.040155555555555555,0.04742222222222222,0.07328888888888889,17821.0,15566.0,6834.0,6814.0,2896.0,3614.0,4268.0,6596.0,4
0.18733333333333332,0.18844444444444444,0.07316666666666667,0.06986666666666666,0.0548,0.04554444444444444,0.057866666666666663,0.044477777777777776,16860.0,16960.0,6585.0,6288.0,4932.0,4099.0,5208.0,4003.0,5
0.20882222222222221,0.20514444444444443,0.06475555555555555,0.05773333333333333,0.04117777777777778,0.04073333333333334,0.05381111111111111,0.04992222222222222,18794.0,18463.0,5828.0,5196.0,3706.0,3666.0,4843.0,4493.0,6
0.2026,0.20053333333333334,0.07386666666666666,0.06673333333333334,0.0408,0.04978888888888889,0.05307777777777778,0.057555555555555554,18234.0,18048.0,6648.0,6006.0,3672.0,4481.0,4777.0,5180.0,7
0.20616666666666666,0.1907,0.07626666666666666,0.07164444444444444,0.042722222222222224,0.049555555555555554,0.06715555555555555,0.04648888888888889,18555.0,17163.0,6864.0,6448.0,3845.0,4460.0,6044.0,4184.0,8
0.1972888888888889,0.18687777777777778,0.07598888888888888,0.07676666666666666,0.04978888888888889,0.04357777777777778,0.05506666666666667,0.06015555555555555,17756.0,16819.0,6839.0,6909.0,4481.0,3922.0,4956.0,5414.0,9
0.20422222222222222,0.19576666666666667,0.08563333333333334,0.07182222222222222,0.04638888888888889,0.03777777777777778,0.05051111111111111,0.06753333333333333,18380.0,17619.0,7707.0,6464.0,4175.0,3400.0,4546.0,6078.0,10
0.19515555555555555,0.19474444444444444,0.0836,0.0801111111111111,0.048544444444444446,0.04535555555555556,0.05394444444444445,0.051,17564.0,17527.0,7524.0,7210.0,4369.0,4082.0,4855.0,4590.0,11
